종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
290650,엘앤씨바이오,KOSDAQ,벤처기업부,23600,-100,-0.42,23850,24450,23550,79716,1904180050,535363427600,22684891
066970,엘앤에프,KOSPI,,159400,3800,2.44,154000,163800,153500,300959,47816409000,5777903305000,36247825
156100,엘앤케이바이오,KOSDAQ,벤처기업부,7580,-20,-0.26,7610,7630,7410,66931,503453780,151120511940,19936743
311060,엘에이티,KONEX,일반기업부,4050,-95,-2.29,4200,4200,3700,3811,14331110,27621542700,6820134
073110,엘엠에스,KOSDAQ,중견기업부,6100,10,0.16,6080,6140,6000,19146,115700410,54264105500,8895755
083310,엘오티베큠,KOSDAQ,우량기업부,23200,-300,-1.28,22800,23450,22250,671985,15355270450,413192765600,17810033
037950,엘컴텍,KOSDAQ,중견기업부,1406,28,2.03,1433,1472,1386,16769648,24039514208,118733211714,84447519
170920,엘티씨,KOSDAQ,벤처기업부,15590,-780,-4.76,16050,16090,15270,226902,3542099300,152869615800,9805620
058630,엠게임,KOSDAQ,우량기업부,5650,0,0.0,5630,5720,5590,68626,386999380,110422905050,19543877
058970,엠로,KOSDAQ,기술성장기업부,53000,1200,2.32,51400,53400,51000,59801,3151497500,594242360000,11212120
019590,엠벤처투자,KOSDAQ,중견기업부,845,-8,-0.94,855,860,837,166102,140706837,96301727990,113966542
169330,엠브레인,KOSDAQ,중견기업부,2970,25,0.85,2945,2995,2940,5500,16306090,54223046460,18256918
